ISO3,Country,Residence / School Type,Service Type,Year,Coverage,School-age population,Service level
BRN,Brunei Darussalam,total,Hygiene,2018,100,106821,Basic service
BRN,Brunei Darussalam,primary,Hygiene,2018,100,38266,Basic service
BRN,Brunei Darussalam,secondary,Hygiene,2018,100,47152,Basic service
BRN,Brunei Darussalam,total,Sanitation,2018,100,106821,Basic service
BRN,Brunei Darussalam,primary,Sanitation,2018,100,38266,Basic service
BRN,Brunei Darussalam,total,Hygiene,2018,0,0,Insufficient data
BRN,Brunei Darussalam,pre_primary,Hygiene,2018,100,21403,Insufficient data
BRN,Brunei Darussalam,primary,Hygiene,2018,0,0,Insufficient data
BRN,Brunei Darussalam,rural,Hygiene,2018,100,23897,Insufficient data
BRN,Brunei Darussalam,secondary,Hygiene,2018,0,0,Insufficient data
BRN,Brunei Darussalam,urban,Hygiene,2018,100,82924,Insufficient data
BRN,Brunei Darussalam,total,Sanitation,2018,0,0,Insufficient data
BRN,Brunei Darussalam,pre_primary,Sanitation,2018,100,21403,Insufficient data
BRN,Brunei Darussalam,primary,Sanitation,2018,0,0,Insufficient data
BRN,Brunei Darussalam,rural,Sanitation,2018,100,23897,Insufficient data
BRN,Brunei Darussalam,secondary,Sanitation,2018,100,47152,Insufficient data
BRN,Brunei Darussalam,urban,Sanitation,2018,100,82924,Insufficient data
BRN,Brunei Darussalam,total,Drinking water,2018,100,106821,Insufficient data
BRN,Brunei Darussalam,pre_primary,Drinking water,2018,100,21403,Insufficient data
BRN,Brunei Darussalam,primary,Drinking water,2018,100,38266,Insufficient data
BRN,Brunei Darussalam,rural,Drinking water,2018,100,23897,Insufficient data
BRN,Brunei Darussalam,secondary,Drinking water,2018,100,47152,Insufficient data
BRN,Brunei Darussalam,urban,Drinking water,2018,100,82924,Insufficient data
BRN,Brunei Darussalam,total,Hygiene,2018,0,0,Limited service
BRN,Brunei Darussalam,primary,Hygiene,2018,0,0,Limited service
BRN,Brunei Darussalam,secondary,Hygiene,2018,0,0,Limited service
BRN,Brunei Darussalam,total,Sanitation,2018,0,0,Limited service
BRN,Brunei Darussalam,primary,Sanitation,2018,0,0,Limited service
BRN,Brunei Darussalam,total,Hygiene,2018,0,0,No service
BRN,Brunei Darussalam,primary,Hygiene,2018,0,0,No service
BRN,Brunei Darussalam,secondary,Hygiene,2018,0,0,No service
BRN,Brunei Darussalam,total,Sanitation,2018,0,0,No service
BRN,Brunei Darussalam,primary,Sanitation,2018,0,0,No service
BRN,Brunei Darussalam,total,Hygiene,2019,100,106705,Basic service
BRN,Brunei Darussalam,primary,Hygiene,2019,100,39197,Basic service
BRN,Brunei Darussalam,secondary,Hygiene,2019,100,46342,Basic service
BRN,Brunei Darussalam,total,Sanitation,2019,100,106705,Basic service
BRN,Brunei Darussalam,primary,Sanitation,2019,100,39197,Basic service
BRN,Brunei Darussalam,total,Hygiene,2019,0,0,Insufficient data
BRN,Brunei Darussalam,pre_primary,Hygiene,2019,100,21166,Insufficient data
BRN,Brunei Darussalam,primary,Hygiene,2019,0,0,Insufficient data
BRN,Brunei Darussalam,rural,Hygiene,2019,100,23537,Insufficient data
BRN,Brunei Darussalam,secondary,Hygiene,2019,0,0,Insufficient data
BRN,Brunei Darussalam,urban,Hygiene,2019,100,83168,Insufficient data
BRN,Brunei Darussalam,total,Sanitation,2019,0,0,Insufficient data
BRN,Brunei Darussalam,pre_primary,Sanitation,2019,100,21166,Insufficient data
BRN,Brunei Darussalam,primary,Sanitation,2019,0,0,Insufficient data
BRN,Brunei Darussalam,rural,Sanitation,2019,100,23537,Insufficient data
BRN,Brunei Darussalam,secondary,Sanitation,2019,100,46342,Insufficient data
BRN,Brunei Darussalam,urban,Sanitation,2019,100,83168,Insufficient data
BRN,Brunei Darussalam,total,Drinking water,2019,100,106705,Insufficient data
