Type,Region,Residence / School Type,Service Type,Year,Coverage,School-age population,Service level
sdg,Eastern and South-Eastern Asia,total,Hygiene,2018,63.73141,279277347.86285,Basic service
sdg,Eastern and South-Eastern Asia,primary,Hygiene,2018,63.61881,112778168.35819,Basic service
sdg,Eastern and South-Eastern Asia,secondary,Hygiene,2018,62.68167,112675481.97878,Basic service
sdg,Eastern and South-Eastern Asia,total,Hygiene,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,pre_primary,Hygiene,2018,100,81179916,Insufficient data
sdg,Eastern and South-Eastern Asia,primary,Hygiene,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,rural,Hygiene,2018,100,187972853,Insufficient data
sdg,Eastern and South-Eastern Asia,secondary,Hygiene,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,urban,Hygiene,2018,100,250237042,Insufficient data
sdg,Eastern and South-Eastern Asia,total,Hygiene,2018,26.46358,115966013.63884,Limited service
sdg,Eastern and South-Eastern Asia,primary,Hygiene,2018,26.12444,46311251.62511,Limited service
sdg,Eastern and South-Eastern Asia,secondary,Hygiene,2018,26.90535,48364585.83103,Limited service
sdg,Eastern and South-Eastern Asia,total,Hygiene,2018,9.80501,42966544.03112,No service
sdg,Eastern and South-Eastern Asia,primary,Hygiene,2018,10.25675,18182311.38486,No service
sdg,Eastern and South-Eastern Asia,secondary,Hygiene,2018,10.41298,18718183.89789,No service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2018,65.77971,288253191.81112,Basic service
sdg,Eastern and South-Eastern Asia,primary,Sanitation,2018,62.05489,110005775.24423,Basic service
sdg,Eastern and South-Eastern Asia,secondary,Sanitation,2018,70.34991,126459761.55602,Basic service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,pre_primary,Sanitation,2018,100,81179916,Insufficient data
sdg,Eastern and South-Eastern Asia,primary,Sanitation,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2018,100,187972853,Insufficient data
sdg,Eastern and South-Eastern Asia,secondary,Sanitation,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2018,100,250237042,Insufficient data
sdg,Eastern and South-Eastern Asia,total,Sanitation,2018,3.00722,13177924.18149,Limited service
sdg,Eastern and South-Eastern Asia,primary,Sanitation,2018,33.95952,60200625.14134,Limited service
sdg,Eastern and South-Eastern Asia,secondary,Sanitation,2018,25.83454,46439719.37236,Limited service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2018,31.21308,136778793.73386,No service
sdg,Eastern and South-Eastern Asia,primary,Sanitation,2018,3.98559,7065322.53914,No service
sdg,Eastern and South-Eastern Asia,secondary,Sanitation,2018,3.81555,6858772.06819,No service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2018,75.31884,330054608.3043,Basic service
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2018,73.43623,130181666.61319,Basic service
sdg,Eastern and South-Eastern Asia,secondary,Drinking water,2018,74.81509,134486303.69228,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,pre_primary,Drinking water,2018,100,81179916,Insufficient data
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2018,100,187972853,Insufficient data
sdg,Eastern and South-Eastern Asia,secondary,Drinking water,2018,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2018,100,250237042,Insufficient data
sdg,Eastern and South-Eastern Asia,total,Drinking water,2018,18.53601,81226632.83022,Limited service
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2018,20.00796,35468451.92685,Limited service
sdg,Eastern and South-Eastern Asia,secondary,Drinking water,2018,19.51976,35088379.21389,Limited service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2018,6.14515,26928668.58756,No service
sdg,Eastern and South-Eastern Asia,primary,Drinking water,2018,6.55582,11621614.53171,No service
sdg,Eastern and South-Eastern Asia,secondary,Drinking water,2018,5.66515,10183573.94083,No service
sdg,Eastern and South-Eastern Asia,total,Hygiene,2019,65.80591,288682474.50112,Basic service
sdg,Eastern and South-Eastern Asia,primary,Hygiene,2019,65.86036,117354266.95228,Basic service
sdg,Eastern and South-Eastern Asia,secondary,Hygiene,2019,64.36305,115317189.77576,Basic service
sdg,Eastern and South-Eastern Asia,total,Hygiene,2019,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,pre_primary,Hygiene,2019,100,81334538,Insufficient data
sdg,Eastern and South-Eastern Asia,primary,Hygiene,2019,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,rural,Hygiene,2019,100,184454181,Insufficient data
sdg,Eastern and South-Eastern Asia,secondary,Hygiene,2019,0,0,Insufficient data
sdg,Eastern and South-Eastern Asia,urban,Hygiene,2019,100,254233598,Insufficient data
