Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Drinking water,Basic service,62.28796387,world,World,rural,569331417.3877311
2015,Drinking water,Limited service,19.7531662,world,World,rural,180550100.08053777
2015,Drinking water,No service,17.95886803,world,World,rural,164149655.16513857
2016,Drinking water,Basic service,59.57715988,world,World,rural,542816670.8042707
2016,Drinking water,Limited service,20.5629425,world,World,rural,187352133.13746247
2016,Drinking water,No service,19.85989571,world,World,rural,180946565.6559629
2017,Drinking water,Basic service,59.42900467,world,World,rural,539908573.8211309
2017,Drinking water,Limited service,20.61125946,world,World,rural,187251927.93483636
2017,Drinking water,No service,19.95973396,world,World,rural,181332861.8918092
2018,Drinking water,Basic service,59.27030182,world,World,rural,537093204.5822709
2018,Drinking water,Limited service,20.86104584,world,World,rural,189037774.68807307
2018,Drinking water,No service,19.86865044,world,World,rural,180044926.51231357
2019,Drinking water,Basic service,59.05981827,world,World,rural,533156395.5600377
2019,Drinking water,Limited service,21.1187973,world,World,rural,190647756.4078535
2019,Drinking water,No service,19.82138634,world,World,rural,178935513.2744361
2020,Drinking water,Basic service,58.87039185,world,World,rural,529243580.5662319
2020,Drinking water,Limited service,21.26558685,world,World,rural,191177177.07761747
2020,Drinking water,No service,19.8640213,world,World,rural,178577132.3561506
2021,Drinking water,Basic service,58.57465744,world,World,rural,525487028.6536699
2021,Drinking water,Limited service,21.26463318,world,World,rural,190770025.69950393
2021,Drinking water,No service,20.16070747,world,World,rural,180866448.51176694
