Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Sanitation,Basic service,42.30012131,world,World,rural,386636302.18123657
2015,Sanitation,Limited service,30.53443909,world,World,rural,279094296.9741522
2015,Sanitation,No service,27.16543961,world,World,rural,248300590.93601435
2016,Sanitation,Basic service,44.15864944,world,World,rural,402336249.73922926
2016,Sanitation,Limited service,29.78018951,world,World,rural,271331888.9033699
2016,Sanitation,No service,26.06116295,world,World,rural,237447265.6685931
2017,Sanitation,Basic service,45.94081879,world,World,rural,417369297.88435435
2017,Sanitation,Limited service,28.70570374,world,World,rural,260789418.44736946
2017,Sanitation,No service,25.35347366,world,World,rural,230334630.0546784
2018,Sanitation,Basic service,47.21865845,world,World,rural,427884114.037505
2018,Sanitation,Limited service,29.80871582,world,World,rural,270119405.716332
2018,Sanitation,No service,22.97262955,world,World,rural,208172437.86208326
2019,Sanitation,Basic service,48.33589554,world,World,rural,436347293.25544375
2019,Sanitation,Limited service,29.43610382,world,World,rural,265731380.00958255
2019,Sanitation,No service,22.22799873,world,World,rural,200660957.4926465
2020,Sanitation,Basic service,49.08369064,world,World,rural,441261343.1877275
2020,Sanitation,Limited service,29.46176147,world,World,rural,264860613.97213298
2020,Sanitation,No service,21.4545517,world,World,rural,192875967.09195912
2021,Sanitation,Basic service,48.91509247,world,World,rural,438828799.3781189
2021,Sanitation,Limited service,29.85585022,world,World,rural,267843854.41959175
2021,Sanitation,No service,21.22905922,world,World,rural,190450883.33734855
