Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Drinking water,Basic service,69.75997162,world,World,total,1271291288.0695524
2015,Drinking water,Limited service,12.35641479,world,World,total,225180746.3436117
2015,Drinking water,No service,17.88361549,world,World,total,325907308.2120428
2016,Drinking water,Basic service,69.45485687,world,World,total,1273105698.3752673
2016,Drinking water,Limited service,12.98358917,world,World,total,237988847.75803307
2016,Drinking water,No service,17.56155586,world,World,total,321902856.69364977
2017,Drinking water,Basic service,69.60650635,world,World,total,1284416957.5343645
2017,Drinking water,Limited service,13.25591278,world,World,total,244605282.68171728
2017,Drinking water,No service,17.13758278,world,World,total,316231960.0282728
2018,Drinking water,Basic service,69.85542297,world,World,total,1297950288.977488
2018,Drinking water,Limited service,13.61790466,world,World,total,253027789.9298629
2018,Drinking water,No service,16.52667618,world,World,total,307074285.88444155
2019,Drinking water,Basic service,70.6463623,world,World,total,1320701704.3667333
2019,Drinking water,Limited service,13.19942474,world,World,total,246757259.44318616
2019,Drinking water,No service,16.15421295,world,World,total,301995685.0031351
2020,Drinking water,Basic service,70.67459869,world,World,total,1329676896.4477873
2020,Drinking water,Limited service,13.52664948,world,World,total,254491339.65083826
2020,Drinking water,No service,15.79875278,world,World,total,297238851.77474153
2021,Drinking water,Basic service,71.18056488,world,World,total,1349209726.7425022
2021,Drinking water,Limited service,13.60253906,world,World,total,257832710.9244881
2021,Drinking water,No service,15.21689415,world,World,total,288432406.12943953
