Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Sanitation,Basic service,72.15496063,world,World,urban,655409790.5682491
2015,Sanitation,Limited service,16.97939301,world,World,urban,154230011.62352782
2015,Sanitation,No service,10.8656435,world,World,urban,98696597.8298013
2016,Sanitation,Basic service,72.86573029,world,World,urban,671727536.6228162
2016,Sanitation,Limited service,16.65442657,world,World,urban,153532214.51575842
2016,Sanitation,No service,10.47984219,world,World,urban,96610554.10365747
2017,Sanitation,Basic service,73.60087585,world,World,urban,689455512.676642
2017,Sanitation,Limited service,15.88426208,world,World,urban,148795675.72233644
2017,Sanitation,No service,10.51486492,world,World,urban,98497898.29836975
2018,Sanitation,No service,10.1627121,world,World,urban,96735250.24151133
2019,Sanitation,No service,9.990968704,world,World,urban,96582994.69017756
2020,Sanitation,No service,9.828864098,world,World,urban,96558474.87880674
2021,Sanitation,No service,9.971373558,world,World,urban,99548132.30422729
