Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Sanitation,Basic service,64.748909,world,World,total,1179970719.7717497
2015,Sanitation,Limited service,13.05495453,world,World,total,237910790.02352864
2015,Sanitation,No service,22.19613838,world,World,total,404497833.01216644
2016,Sanitation,Basic service,66.28378296,world,World,total,1214979997.0676324
2016,Sanitation,Limited service,12.28929901,world,World,total,225262527.39895007
2016,Sanitation,No service,21.42691612,world,World,total,392754808.5231677
2017,Sanitation,Basic service,67.96244812,world,World,total,1254079904.5702643
2017,Sanitation,Limited service,11.49845123,world,World,total,212175650.23206875
2017,Sanitation,No service,20.53910255,world,World,total,378998645.2574962
2018,Sanitation,Basic service,69.63666534,world,World,total,1293885657.8149729
2018,Sanitation,Limited service,10.76524353,world,World,total,200023854.36385155
2018,Sanitation,No service,19.59809113,world,World,total,364142781.8211755
2019,Sanitation,Basic service,70.84474945,world,World,total,1324410462.1654267
2019,Sanitation,Limited service,10.1611557,world,World,total,189958197.6257785
2019,Sanitation,No service,18.99409294,world,World,total,355085953.50221086
2020,Sanitation,Basic service,71.90111542,world,World,total,1352752668.9207401
2020,Sanitation,Limited service,14.83943176,world,World,total,279190118.2804654
2020,Sanitation,No service,13.25944996,world,World,total,249464228.9905522
2021,Sanitation,Basic service,71.57702637,world,World,total,1356724554.694326
2021,Sanitation,Limited service,15.75730133,world,World,total,298675688.4760559
2021,Sanitation,No service,12.66567039,world,World,total,240074600.62604806
