Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Drinking water,Basic service,67.17177582,world,World,primary,472200788.383774
2015,Drinking water,Limited service,12.85289001,world,World,primary,90352603.03368188
2015,Drinking water,No service,19.97533035,world,World,primary,140421577.7288993
2016,Drinking water,Basic service,66.56665802,world,World,primary,471871988.6575879
2016,Drinking water,Limited service,13.77350616,world,World,primary,97636443.46624714
2016,Drinking water,No service,19.65983391,world,World,primary,139362936.33672163
2017,Drinking water,Basic service,66.67969513,world,World,primary,476881937.3731611
2017,Drinking water,Limited service,13.98171997,world,World,primary,99994903.90745306
2017,Drinking water,No service,19.33858299,world,World,primary,138306285.05938786
2018,Drinking water,Basic service,66.76676941,world,World,primary,481577563.0451801
2018,Drinking water,Limited service,14.19896698,world,World,primary,102414778.7351717
2018,Drinking water,No service,19.0342617,world,World,primary,137290952.44313702
2019,Drinking water,Basic service,67.58946228,world,World,primary,491432384.23787844
2019,Drinking water,Limited service,13.57055664,world,World,primary,98669389.87327555
2019,Drinking water,No service,18.83997917,world,World,primary,136982535.0015355
2020,Drinking water,Basic service,67.68127441,world,World,primary,495575265.7303244
2020,Drinking water,Limited service,13.75513458,world,World,primary,100717732.25405899
2020,Drinking water,No service,18.563591,world,World,primary,135926171.9423947
2021,Drinking water,Basic service,67.43334961,world,World,primary,496867178.18022037
2021,Drinking water,Limited service,14.41394806,world,World,primary,106205872.02665672
2021,Drinking water,No service,18.15270424,world,World,primary,133754039.86652
