Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Sanitation,Basic service,62.16689682,world,World,primary,437017740.4337191
2015,Sanitation,Limited service,20.33436584,world,World,primary,142945507.45036536
2015,Sanitation,No service,17.49873352,world,World,primary,123011721.26227064
2016,Sanitation,Basic service,63.51405716,world,World,primary,450232974.7543619
2016,Sanitation,Limited service,19.75240326,world,World,primary,140019133.96737507
2016,Sanitation,No service,16.73354149,world,World,primary,118619286.81770639
2017,Sanitation,Basic service,64.90370941,world,World,primary,464180386.93491346
2017,Sanitation,Limited service,18.95645142,world,World,primary,135573344.4981306
2017,Sanitation,No service,16.13984299,world,World,primary,115429435.88695186
2018,Sanitation,Basic service,65.98461914,world,World,primary,475936043.7041932
2018,Sanitation,Limited service,18.45909119,world,World,primary,133142343.56196855
2018,Sanitation,No service,15.55628872,world,World,primary,112204913.88164686
2019,Sanitation,Basic service,66.85569763,world,World,primary,486097296.5000125
2019,Sanitation,Limited service,17.99981689,world,World,primary,130873846.77589616
2019,Sanitation,No service,15.14448833,world,World,primary,110113200.44599451
2020,Sanitation,Basic service,67.6537323,world,World,primary,495373597.12108195
2020,Sanitation,Limited service,18.06809998,world,World,primary,132298091.70832616
2020,Sanitation,No service,14.27816391,world,World,primary,104547453.27304155
2021,Sanitation,Basic service,67.62860107,world,World,primary,498305843.8037857
2021,Sanitation,Limited service,18.36506653,world,World,primary,135318782.71845365
2021,Sanitation,No service,14.0063324,world,World,primary,103202449.47776061
