Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Drinking water,Basic service,74.33098602,world,World,secondary,574533713.7296073
2015,Drinking water,Limited service,14.41966248,world,World,secondary,111455298.5094638
2015,Drinking water,No service,11.24935341,world,World,secondary,86950720.52407737
2016,Drinking water,Basic service,74.23013306,world,World,secondary,575569324.6502943
2016,Drinking water,Limited service,14.7668457,world,World,secondary,114499908.00762957
2016,Drinking water,No service,11.00302029,world,World,secondary,85315769.97591853
2017,Drinking water,Basic service,73.94252014,world,World,secondary,577108729.9583073
2017,Drinking water,Limited service,15.06414032,world,World,secondary,117573040.1334537
2017,Drinking water,No service,10.99333668,world,World,secondary,85801113.58642793
2018,Drinking water,Basic service,73.68613434,world,World,secondary,579189336.654295
2018,Drinking water,Limited service,15.11973572,world,World,secondary,118844471.62946463
2018,Drinking water,No service,11.19413185,world,World,secondary,87988355.72926345
2019,Drinking water,Basic service,73.61730957,world,World,secondary,582039435.5468591
2019,Drinking water,Limited service,15.15655518,world,World,secondary,119832045.93226516
2019,Drinking water,No service,11.22613525,world,World,secondary,88757025.52087572
2020,Drinking water,Basic service,73.61751556,world,World,secondary,588671180.5551053
2020,Drinking water,Limited service,15.83576965,world,World,secondary,126628305.01616845
2020,Drinking water,No service,10.54671192,world,World,secondary,84335165.47921114
2021,Drinking water,Basic service,75.76894379,world,World,secondary,609492516.7351283
2021,Drinking water,Limited service,14.03520203,world,World,secondary,112900486.40323912
2021,Drinking water,No service,10.19585323,world,World,secondary,82016403.21974307
