Year,Service Type,Service Level,Coverage,Type,Region,Residence / School Type,School-age population
2015,Sanitation,Basic service,71.06134796,world,World,secondary,549261382.5290228
2015,Sanitation,Limited service,16.55648041,world,World,secondary,127971612.99177924
2015,Sanitation,No service,12.38217068,world,World,secondary,95706715.13627067
2016,Sanitation,Basic service,72.33409882,world,World,secondary,560867759.3688668
2016,Sanitation,Limited service,15.90466309,world,World,secondary,123322373.4908628
2016,Sanitation,No service,11.76124001,world,World,secondary,91194892.0276625
2017,Sanitation,Basic service,73.67556,world,World,secondary,575025151.6997737
2017,Sanitation,Limited service,15.00736237,world,World,secondary,117129897.93932647
2017,Sanitation,No service,11.31707954,world,World,secondary,88327871.26812343
2018,Sanitation,Basic service,74.33415985,world,World,secondary,584282960.6940652
2018,Sanitation,Limited service,14.75434113,world,World,secondary,115972389.22081688
2018,Sanitation,No service,10.91149998,world,World,secondary,85766806.63093057
2019,Sanitation,Basic service,74.80330658,world,World,secondary,591416266.0000868
2019,Sanitation,Limited service,14.63097382,world,World,secondary,115676649.87262686
2019,Sanitation,No service,10.56572151,world,World,secondary,83535606.22829086
2020,Sanitation,Basic service,75.45619202,world,World,secondary,603373875.071941
2020,Sanitation,Limited service,14.20556641,world,World,secondary,113592634.65245698
2020,Sanitation,No service,10.33824348,world,World,secondary,82668179.54862425
2021,Sanitation,Basic service,75.48455048,world,World,secondary,607204830.1767021
2021,Sanitation,Limited service,14.05841064,world,World,secondary,113087178.64693765
2021,Sanitation,No service,10.45703506,world,World,secondary,84117374.44792055
